Category,City,District_1,District_2,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
Urban_air,Seoul,Jung,Jung,0.52,0.42,0.39,0.39,0.39,0.37
Urban_air,Seoul,Jongno,Jongno,0.55,0.46,0.42,0.41,0.41,0.38
Urban_air,Seoul,Jungnang,Jungnang,0.47,0.37,0.33,0.34,0.31,0.27
Urban_air,Seoul,Dongdaemun,Dongdaemun,0.52,0.42,0.39,0.39,0.33,0.35
Urban_air,Seoul,Eunpyeong,Eunpyeong,0.55,0.48,0.41,0.5,0.4,0.29
Urban_air,Seoul,Mapo,Mapo,0.52,0.42,0.39,0.39,0.37,0.37
Urban_air,Seoul,Yeongdeungpo,Yeongdeungpo,0.52,0.41,0.39,0.39,0.38,0.27
Urban_air,Seoul,Dongjak,Dongjak,0.46,0.36,0.34,0.34,0.31,0.31
Urban_air,Seoul,Gwanak,Gwanak,0.56,0.45,0.43,0.41,0.39,0.38
Urban_air,Seoul,Gangnam,Gangnam,0.48,0.37,0.35,0.36,0.35,0.34
Urban_air,Seoul,Geumcheon,Geumcheon,0.49,0.41,0.39,0.4,0.32,0.27
Urban_air,Seoul,Gangdong,Gangdong,0.43,0.35,0.33,0.35,0.33,0.35
Urban_air,Seoul,Gangbuk,Gangbuk,0.52,0.43,0.37,0.36,0.36,0.33
Urban_air,Seoul,Seongbuk,Seongbuk,0.6,0.37,0.39,0.46,0.42,0.42
Urban_air,Seoul,Yongsan,Yongsan,0.55,0.43,0.41,0.42,0.41,0.4
Urban_air,Seoul,Gwangjin,Gwangjin,0.52,0.36,0.28,0.39,0.29,0.32
Urban_air,Seoul,Seongdong,Seongdong,0.47,0.36,0.33,0.35,0.35,0.32
Urban_air,Seoul,Dobong,Dobong,0.59,0.43,0.46,0.49,0.36,0.47
Urban_air,Seoul,Seodaemun,Seodaemun,0.54,0.37,0.35,0.42,0.37,0.3
Urban_air,Seoul,Guro,Guro,0.5,0.41,0.33,0.31,0.28,0.27
Urban_air,Seoul,Seocho,Seocho,0.52,0.39,0.34,0.34,0.36,0.34
Urban_air,Seoul,Gangseo,Gangseo,0.53,0.43,0.42,0.41,0.39,0.39
Urban_air,Seoul,Songpa,Songpa,0.53,0.42,0.39,0.4,0.38,0.37
Urban_air,Seoul,Yangcheon,Yangcheon,0.54,0.43,0.41,0.41,0.39,0.38
Urban_air,Seoul,Nowon,Nowon,0.54,0.43,0.38,0.38,0.37,0.35
