day,temp
2023-03-31,23.2
2023-03-30,21.4
2023-03-29,19.6
2023-03-28,15.8
2023-03-27,14.1
2023-03-26,14.6
2023-03-25,18.5
2023-03-24,18.1
2023-03-23,23.9
2023-03-22,23.8
2023-03-21,21.1
2023-03-20,16.8
2023-03-19,15.1
2023-03-18,14.9
2023-03-17,12.8
2023-03-16,9.9
2023-03-15,13.5
2023-03-14,14.8
2023-03-13,7.1
2023-03-12,11.9
2023-03-11,22.8
2023-03-10,22.2
2023-03-09,13.5
2023-03-08,17.8
2023-03-07,18.6
2023-03-06,16.0
2023-03-05,15.8
2023-03-04,13.8
2023-03-03,10.1
2023-03-02,7.5
2023-03-01,10.2
2023-04-30,18.4
2023-04-29,15.7
2023-04-28,21.5
2023-04-27,20.4
2023-04-26,14.1
2023-04-25,13.7
2023-04-24,21.6
2023-04-23,22.2
2023-04-22,23.4
2023-04-21,23.4
2023-04-20,18.5
2023-04-19,28.6
2023-04-18,20.0
2023-04-17,18.9
2023-04-16,17.3
2023-04-15,17.9
2023-04-14,21.8
2023-04-13,17.8
2023-04-12,17.0
2023-04-11,17.3
2023-04-10,19.2
2023-04-09,18.0
2023-04-08,15.8
2023-04-07,16.0
2023-04-06,10.2
2023-04-05,14.9
2023-04-04,21.6
2023-04-03,25.9
2023-04-02,25.1
2023-04-01,25.6
2023-05-31,28.8
2023-05-30,30.1
2023-05-29,29.9
2023-05-28,20.3
2023-05-27,21.6
2023-05-26,27.1
2023-05-25,28.1
2023-05-24,26.2
2023-05-23,27.8
2023-05-22,26.6
2023-05-21,22.5
2023-05-20,26.6
2023-05-19,28.9
2023-05-18,26.0
2023-05-17,28.8
2023-05-16,31.5
2023-05-15,28.9
2023-05-14,24.5
2023-05-13,24.3
2023-05-12,25.6
2023-05-11,27.6
2023-05-10,27.1
2023-05-09,24.0
2023-05-08,22.9
2023-05-07,19.9
2023-05-06,15.8
2023-05-05,22.1
2023-05-04,26.6
2023-05-03,26.9
2023-05-02,24.6
2023-05-01,21.8
2023-06-30,30.1
2023-06-29,25.7
2023-06-28,31.1
2023-06-27,30.3
2023-06-26,27.6
2023-06-25,34.8
2023-06-24,32.3
2023-06-23,30.7
2023-06-22,27.7
2023-06-21,23.3
2023-06-20,27.4
2023-06-19,35.1
2023-06-18,32.8
2023-06-17,31.2
2023-06-16,29.8
2023-06-15,28.8
2023-06-14,26.1
2023-06-13,27.0
2023-06-12,28.3
2023-06-11,28.6
2023-06-10,29.2
2023-06-09,29.5
2023-06-08,25.1
2023-06-07,25.7
2023-06-06,26.2
2023-06-05,26.9
2023-06-04,29.1
2023-06-03,29.2
2023-06-02,26.4
2023-06-01,26.9
2023-07-31,35.2
2023-07-30,36.4
2023-07-29,35.1
2023-07-28,35.3
2023-07-27,34.3
2023-07-26,33.2
2023-07-25,32.0
2023-07-24,31.3
2023-07-23,26.7
2023-07-22,33.2
2023-07-21,35.8
2023-07-20,34.3
2023-07-19,33.6
2023-07-18,30.4
2023-07-17,28.9
2023-07-16,26.4
2023-07-15,26.7
2023-07-14,25.5
2023-07-13,27.0
2023-07-12,30.6
2023-07-11,26.3
2023-07-10,32.4
2023-07-09,28.1
2023-07-08,32.1
2023-07-07,33.7
2023-07-06,33.1
2023-07-05,28.5
2023-07-04,29.4
2023-07-03,34.7
2023-07-02,30.6
2023-07-01,33.2
2023-08-31,30.2
2023-08-30,26.5
2023-08-29,26.5
2023-08-28,25.6
2023-08-27,30.8
2023-08-26,31.6
2023-08-25,31.2
2023-08-24,31.0
2023-08-23,26.8
2023-08-22,32.2
2023-08-21,34.1
2023-08-20,33.5
2023-08-19,35.1
2023-08-18,34.4
2023-08-17,33.8
2023-08-16,33.3
2023-08-15,33.7
2023-08-14,34.1
2023-08-13,33.1
2023-08-12,27.2
2023-08-11,26.4
2023-08-10,26.5
2023-08-09,33.0
2023-08-08,36.5
2023-08-07,37.2
2023-08-06,35.3
2023-08-05,36.1
2023-08-04,35.6
2023-08-03,35.2
2023-08-02,35.4
2023-08-01,35.4
